Content,Reactions,Comments,Reposts,Poster,Location
"A massive evacuation is underway with 20,000 people trying to escape a raging wildfire that's threatening the city of Yellowknife, Canada. The wildfire, which is one of nearly 1,100 burning across the country, could reach parts of the city by the weekend.",160,26 comments,26 comments,CBS News,
"SEW thankful to be o. This evacuation flight, leaving Yellowknife for YYC, and sew relieved that my twins are also on this flight, their first time in the belly of a plane",146,18 comments,18 comments,Inuk,
The City of Yellowknife would like to advise residents that as a result of the current wildfire situation and Evacuation Order the following services will be suspended effective immediately:1. Transit (including YATS);2. Residential and Commercial trucked water and sewer;3. Residential garbage collection … See more,13,3 comments,3 comments,City of Yellowknife,
"With Evacuation Orders for NWT wildfires now extending into the city of Yellowknife, Ndilǫ, Dettah and immediate, surrounding communities, IRC is committed to providing $1000 in relief support per Inuvialuit Beneficiary household affected by Evacuation Orders where they live. Reminders during this difficult time:-If your banking direct deposit information has not changed, Inuvialuit Beneficiary households under Evacuation will see $1000 relief support from IRC automatical… See more",116,111 comments,111 comments,Inuvialuit Regional Corporation,
"UPDATED - Evacuation Assistance for Gwich'in Participants living in the communities of Fort Smith, Hay River, Enterprise, Old Crow, Mayo, Yellowknife, Dettah and Ndilo.If you are an enrolled Participant and have been temporarily displaced by evacuation from the wildfires in Fort Smith, Hay River, Enterprise, Old Crow, Mayo, Yellowknife, Dettah or Ndilo, financial support of $500 per adult/$125 per dependent by e-Transfer is available.One $500 payment for each enrolled adu… See more",20,13 comments,13 comments,Gwich'in Tribal Council,
"I'm a evacuee from yellowknife nwt,I am sitting here in calgary having a blast of fun ,thank you Leanne Fitzgerald ,best evacuation ever",4,2 comments,2 comments,James Picard,
Evacuated last night from our city of yellowknife. They have issued a city-wide evacuation because of wildfires. Wishing everyone safe journey on the long drive out! We are in safe and sound in Alberta now. Left all my paintings and even my paints at homeIt was sad to see the devistation on the sides of the road.,28,15 comments,15 comments,Jessica McVicker Art,
Has anyone heard from or been able to get in contact with GP2U? I have been waiting for a delivery since before the evacuation and have not been able to get a response from them in over a month.,5,28 comments,28 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
What are the plans for evacuation? they should start now is it really 15 minutes out of Yellowknife? And the airport we’ll be hit first,53,78 comments,78 comments,Yellowknife current events,
"A very rare Facebook update from me. Getting lots of messages and believe it or not, I’m even worse than texting right now than normal (I know, I know) so here’s my response to all of you: Shiri and I left Yellowknife at 12:30 in the morning last night after a weekend of very scary driving between Fort Simpson and Yellowknife. We drove through the night and day today and are headed to my parents in Calgary where we’re expected to arrive late tonight. At 7:30pm this evening,… See more",111,17 comments,17 comments,Megan Miskiman,"Yellowknife, NT"
"Please watch until the end... an emotional plea for help from our Dr. Michelle Tuma who, along with our partner agencies, has been on the front lines saving, sheltering, feeding and caring for hundreds of animals fleeing approaching wildfires. Now her hometown of Yellowknife is under and evacuation notice and thousands of residents and their pets need our help and support - please take a moment to share this message and make a donation to our efforts if you can  https://… See more",329,26 comments,26 comments,Veterinarians without Borders,
RANTSHOPPERS DRUGMART IN YK!! I can’t get my meds refilled due to no proper protocol on situations such as this! I have tried since last Monday to get thru so I can get my meds refilled and a list of my prescriptions to be prepared and not one answer with hundreds of calls during the week until the evacuation! I’ve tried every way to get access to my prescriptions…I was also gone on holidays 3 weeks and was on my way back home thursday and couldn’t go the rest of the way fro… See more,8,41 comments,41 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
"*Yellowknife Evacuees*Risk Control Canada is on the ground in YK and is offering FREE HOUSE CHECKS for those affected by the evacuation of the city. We want to help you have one less worry by checking on your house while you are gone! We will conduct a patrol of your house/property and contact you if something out of the ordinary is found! Let us give you some peace of mind! If this is something that interests you or you would like more information, please visit https://ri… See more",11,7 comments,7 comments,Risk Control Canada,Yellowknife NWT
*Yellowknife Evacuees*Risk Control Canada is on the ground in YK and is offering FREE HOUSE CHECKS for those affected by the evacuation of the city. We want to… See more,,,,Risk Control Canada,Yellowknife NWT
"You can be fined 5000$ or jailed up to a year if you return to yellowknife now, thanks to the use of emergency powers.I wonder now if they'll keep extending the evacuation orders and never let us return home.Be careful about protesting.… See more",18,14 comments,14 comments,Yellowknife's Rants & Raves 2.0 (Rated E),
Recorded earlier today,1,,,GNWT Cabinet Communications - 20th Legislative Assembly,GNWT Cabinet Communications - 20th Legislative Assembly
Premier Cochrane is at the Calgary Evacuation Centre with Premier Danielle Smith to speak to members of the media regarding the ongoing wildfire situation in th… See more,,,,GNWT Cabinet Communications - 20th Legislative Assembly,GNWT Cabinet Communications - 20th Legislative Assembly
"Wildfires in Canada ll 20,000 Residents of Yellowknife Flee Wildfires  The Northwest Territories government has ordered the evacuation of Yellowknife, the capital city of the Northwest Territories, as wildfires rage out of control. The fire, known as the Behchoko/Yellowknife wildfire, is burning less than 10 miles outside the city and has forced the evacuation of all 20,000 residents.The fire is believed to have been started by lightning on August 15 and has been growing … See more",56,17 comments,17 comments,USA Dispatch,
Yellowknife during evacuation this summer.  Stayed behind as an essential worker.,6,4 comments,4 comments,Liminal Spaces,
"'Grim situation' in Canada's British Columbia as wildfires intensify#Yellowknife  #CanadaWildfires  #CanadaAuthorities in western Canada have implored tens of thousands of people to heed evacuation orders. They have warned of difficult days ahead as ""severe and fast-changing"" forest fires in the province of British Columbia intensified further.",13,3 comments,3 comments,Newspaper 7,
"Canada Wildfire Update: Evacuation Efforts and State of Emergency in Yellowknife | News for youCanada wildfire, evacuation efforts, Yellowknife, state of emergency, Northwest Territories, wildfire update, climate change, emergency evacuation flights.Explore the evolving Canada wildfire crisis in Yellowknife, NW Territories, Learn about evacuations, emergency flights, the state of emergency, and climate change's role, Stay informed on this pressing issue, yellowknife… See more",45,4 comments,4 comments,Paul Nikolas,
